subject,datestamp,timestamp,version,role,opType,opChoice,choice,payoffSubj1,payoffSubj2,payoffOpp1,payoffOpp2,rt,score,globalRound,matchRound,id
  A2A8HRBDYBV6XJ_lit3,4/18/15,22:18:08,lit5,0,0,1,1,2,-5,-2,-1,8808,97,1,1,5408
  A2A8HRBDYBV6XJ_lit3,4/18/15,22:18:57,lit5,0,0,0,0,2,0,0,0,2968,99,2,2,5410
  A2A8HRBDYBV6XJ_lit3,4/18/15,22:19:05,lit5,0,0,1,1,2,-5,-2,-1,1936,96,3,3,5411
  A2A8HRBDYBV6XJ_lit3,4/18/15,22:19:15,lit5,0,0,1,1,2,-5,-2,-1,3492,93,4,4,5412
  A2A8HRBDYBV6XJ_lit3,4/18/15,22:19:21,lit5,0,0,0,0,2,0,0,0,976,95,5,5,5413
  A2A8HRBDYBV6XJ_lit3,4/18/15,22:19:30,lit5,1,0,1,0,-2,0,2,0,1122,93,6,1,5414
  A2A8HRBDYBV6XJ_lit3,4/18/15,22:19:39,lit5,1,0,1,1,-2,-1,2,-5,952,90,7,2,5415
  A2A8HRBDYBV6XJ_lit3,4/18/15,22:19:47,lit5,1,0,1,0,-2,0,2,0,755,88,8,3,5416
  A2A8HRBDYBV6XJ_lit3,4/18/15,22:19:54,lit5,1,0,1,1,-2,-1,2,-5,770,85,9,4,5417
  A2A8HRBDYBV6XJ_lit3,4/18/15,22:20:00,lit5,1,0,1,0,-2,0,2,0,821,83,10,5,5418
  A2A8HRBDYBV6XJ_lit3,4/18/15,22:20:10,lit5,1,0,1,0,-2,0,2,0,3835,81,11,6,5419
  A2A8HRBDYBV6XJ_lit3,4/18/15,22:20:16,lit5,0,0,0,0,-2,0,0,0,979,79,12,1,5420
  A2A8HRBDYBV6XJ_lit3,4/18/15,22:20:23,lit5,0,0,1,1,2,-5,-2,-1,863,76,13,2,5421
  A2A8HRBDYBV6XJ_lit3,4/18/15,22:20:29,lit5,0,0,0,0,2,0,0,0,896,78,14,3,5422
  A2A8HRBDYBV6XJ_lit3,4/18/15,22:20:35,lit5,0,0,0,0,2,0,0,0,695,80,15,4,5423
  A2A8HRBDYBV6XJ_lit3,4/18/15,22:20:42,lit5,0,0,0,0,2,0,0,0,1384,82,16,5,5424
  A2A8HRBDYBV6XJ_lit3,4/18/15,22:20:48,lit5,0,0,1,1,2,-5,-2,-1,693,79,17,6,5425
  A2A8HRBDYBV6XJ_lit3,4/18/15,22:20:58,lit5,0,1,1,1,2,-5,-2,-1,882,76,18,1,5426
  A2A8HRBDYBV6XJ_lit3,4/18/15,22:21:04,lit5,0,1,0,0,2,0,0,0,815,78,19,2,5427
  A2A8HRBDYBV6XJ_lit3,4/18/15,22:21:13,lit5,0,1,0,0,2,0,0,0,3416,80,20,3,5428
  A2A8HRBDYBV6XJ_lit3,4/18/15,22:21:20,lit5,0,1,0,0,2,0,0,0,880,82,21,4,5429
  A2A8HRBDYBV6XJ_lit3,4/18/15,22:21:26,lit5,0,1,0,0,2,0,0,0,935,84,22,5,5430
  A2A8HRBDYBV6XJ_lit3,4/18/15,22:21:36,lit5,0,1,0,0,2,0,0,0,1894,86,23,6,5431
  A2A8HRBDYBV6XJ_lit3,4/18/15,22:22:05,lit5,1,0,1,1,-2,-1,2,-5,4362,83,24,1,5432
  A2A8HRBDYBV6XJ_lit3,4/18/15,22:22:12,lit5,1,0,1,0,-2,0,2,0,938,81,25,2,5433
  A2A8HRBDYBV6XJ_lit3,4/18/15,22:22:18,lit5,1,0,1,0,-2,0,2,0,666,79,26,3,5434
  A2A8HRBDYBV6XJ_lit3,4/18/15,22:22:28,lit5,1,0,1,0,-2,0,2,0,4268,77,27,4,5435
  A2A8HRBDYBV6XJ_lit3,4/18/15,22:22:34,lit5,1,0,1,1,-2,-1,2,-5,682,74,28,5,5436
  A2A8HRBDYBV6XJ_lit3,4/18/15,22:22:41,lit5,1,0,1,1,-2,-1,2,-5,1114,71,29,6,5437
  A2A8HRBDYBV6XJ_lit3,4/18/15,22:22:47,lit5,1,0,1,1,-2,-1,2,-5,810,68,30,7,5438
  A2A8HRBDYBV6XJ_lit3,4/18/15,22:22:55,lit5,1,0,1,1,-2,-1,2,-5,2186,65,31,8,5439
  A2A8HRBDYBV6XJ_lit3,4/18/15,22:23:04,lit5,1,1,1,0,-2,0,2,0,930,63,32,1,5440
