subject,role,orderCond,oppType,choice,globalRound,matchNum,matchRound,score,rt,oppChoice,oppScore,stamp
1,1,1,1,1,0,0,0,97,2863,1,-1,6/21/17 13:26
1,1,1,1,0,1,0,1,97,1305,0,-1,6/21/17 13:26
1,1,1,1,0,2,0,2,97,588,0,-1,6/21/17 13:26
1,1,1,1,0,3,0,3,97,278,0,-1,6/21/17 13:27
1,1,1,1,0,4,0,4,97,238,0,-1,6/21/17 13:27
1,1,1,1,0,5,0,5,97,651,0,-1,6/21/17 13:27
1,1,1,1,0,6,0,6,97,647,0,-1,6/21/17 13:27
1,1,1,1,0,7,0,7,97,262,0,-1,6/21/17 13:27
1,1,1,1,0,8,0,8,97,258,0,-1,6/21/17 13:27
1,1,1,1,0,9,0,9,97,38,0,-1,6/21/17 13:27
1,1,1,1,0,10,0,10,97,266,0,-1,6/21/17 13:27
1,1,1,1,0,11,0,11,97,264,0,-1,6/21/17 13:28
1,1,1,1,0,12,0,12,97,238,0,-1,6/21/17 13:28
1,1,1,1,0,13,0,13,97,577,0,-1,6/21/17 13:28
1,1,1,1,0,14,0,14,97,428,0,-1,6/21/17 13:28
1,1,1,1,0,15,0,15,97,252,0,-1,6/21/17 13:28
1,0,1,0,0,16,1,0,97,3046,0,-1,6/21/17 13:28
1,0,1,0,0,17,1,1,97,417,0,-1,6/21/17 13:28
1,0,1,0,0,18,1,2,97,243,0,-1,6/21/17 13:29
1,0,1,0,0,19,1,3,97,237,0,-1,6/21/17 13:29
1,0,1,0,1,20,1,4,99,550,0,-3,6/21/17 13:29
1,0,1,0,0,21,1,5,99,231,0,-3,6/21/17 13:29
1,0,1,0,0,22,1,6,99,328,0,-3,6/21/17 13:29
1,0,1,0,0,23,1,7,99,480,0,-3,6/21/17 13:29
1,0,1,0,0,24,1,8,99,349,0,-3,6/21/17 13:29
1,0,1,0,0,25,1,9,99,221,0,-3,6/21/17 13:29
1,0,1,0,0,26,1,10,99,220,0,-3,6/21/17 13:29
1,0,1,0,0,27,1,11,99,376,0,-3,6/21/17 13:30
1,0,1,0,0,28,1,12,99,288,0,-3,6/21/17 13:30
1,0,1,2,0,29,2,0,99,1740,0,-3,6/21/17 13:30
1,0,1,2,1,30,2,1,98,569,1,-6,6/21/17 13:30
1,0,1,2,0,31,2,2,98,285,0,-6,6/21/17 13:30
1,0,1,2,0,32,2,3,98,231,0,-6,6/21/17 13:30
1,0,1,2,0,33,2,4,98,239,0,-6,6/21/17 13:31
1,0,1,2,0,34,2,5,98,260,0,-6,6/21/17 13:31
1,0,1,2,0,35,2,6,98,165,0,-6,6/21/17 13:31
1,0,1,2,0,36,2,7,98,311,0,-6,6/21/17 13:31
1,0,1,2,0,37,2,8,98,245,0,-6,6/21/17 13:31
1,0,1,2,0,38,2,9,98,200,0,-6,6/21/17 13:31
1,0,1,2,0,39,2,10,98,176,0,-6,6/21/17 13:31
1,0,1,2,0,40,2,11,98,222,0,-6,6/21/17 13:31
1,0,1,2,0,41,2,12,98,231,0,-6,6/21/17 13:31
1,0,1,2,0,42,2,13,98,273,0,-6,6/21/17 13:31
1,0,1,2,0,43,2,14,98,276,0,-6,6/21/17 13:32
1,0,1,2,0,44,2,15,98,244,0,-6,6/21/17 13:32
1,0,1,2,0,45,2,16,98,228,0,-6,6/21/17 13:32
1,0,1,2,0,46,2,17,98,53,0,-6,6/21/17 13:32
1,0,1,2,0,47,2,18,98,319,0,-6,6/21/17 13:32
1,0,1,2,0,48,2,19,98,176,0,-6,6/21/17 13:32
2,1,1,1,1,0,0,0,97,8260,1,-1,6/21/17 13:44
2,1,1,1,0,1,0,1,97,2563,0,-1,6/21/17 13:44
2,1,1,1,0,2,0,2,97,1345,0,-1,6/21/17 13:44
2,1,1,1,0,3,0,3,97,1175,0,-1,6/21/17 13:44
2,1,1,1,0,4,0,4,97,1087,0,-1,6/21/17 13:45
2,1,1,1,0,5,0,5,97,1391,0,-1,6/21/17 13:45
2,1,1,1,0,6,0,6,97,1060,0,-1,6/21/17 13:45
2,1,1,1,0,7,0,7,97,1232,0,-1,6/21/17 13:45
2,1,1,1,0,8,0,8,97,1105,0,-1,6/21/17 13:45
2,1,1,1,0,9,0,9,97,818,0,-1,6/21/17 13:45
2,1,1,1,0,10,0,10,97,808,0,-1,6/21/17 13:45
2,1,1,1,0,11,0,11,97,1238,0,-1,6/21/17 13:46
2,1,1,1,0,12,0,12,97,1920,0,-1,6/21/17 13:46
2,1,1,1,0,13,0,13,97,1323,0,-1,6/21/17 13:46
2,1,1,1,0,14,0,14,97,1183,0,-1,6/21/17 13:46
2,1,1,1,0,15,0,15,97,1477,0,-1,6/21/17 13:46
2,1,1,1,0,16,0,16,97,1421,0,-1,6/21/17 13:47
2,0,1,0,0,17,1,0,97,11920,0,-1,6/21/17 13:47
2,0,1,0,0,18,1,1,97,1595,0,-1,6/21/17 13:47
2,0,1,0,0,19,1,2,97,1425,0,-1,6/21/17 13:48
2,0,1,0,0,20,1,3,97,1370,0,-1,6/21/17 13:48
2,0,1,0,0,21,1,4,97,1454,0,-1,6/21/17 13:48
2,0,1,0,0,22,1,5,97,1495,0,-1,6/21/17 13:48
2,0,1,0,0,23,1,6,97,1152,0,-1,6/21/17 13:48
2,0,1,0,0,24,1,7,97,1294,0,-1,6/21/17 13:48
2,0,1,0,0,25,1,8,97,1551,0,-1,6/21/17 13:49
2,0,1,0,0,26,1,9,97,1284,0,-1,6/21/17 13:49
2,0,1,0,0,27,1,10,97,2052,0,-1,6/21/17 13:49
2,0,1,0,0,28,1,11,97,2468,0,-1,6/21/17 13:49
