"subject","version","assignmentId","role","orderCond","s","c","p","oppType","choice","globalRound","matchNum","matchRound","score","rt","oppChoice","oppScore","stamp","id"
"A34930YXVQ8SUT","sp_v3_real2","3Q5C1WP23M26ZVGWFZTTEC5X3ZM518","0","0","3","3","4","2","0","0","0","0","120","3160","0","0","2017-06-21 18:07:14","6140"
"A25VT8VMVWY4X0","sp_v3_real2","3A4TN5196KJ22RAPWYJMK5REC54HCR","0","0","4","4","5","2","1","0","0","0","119","3347","1","-8","2017-06-21 18:07:22","6141"
"A34930YXVQ8SUT","sp_v3_real2","3Q5C1WP23M26ZVGWFZTTEC5X3ZM518","0","0","3","3","4","2","0","1","0","1","120","1316","0","0","2017-06-21 18:07:25","6143"
"AKZA41N1TOI1H","sp_v3_real2","34QN5IT0TZSPFOEGHEWWCRWE0XH082","1","1","3","4","6","0","0","0","0","0","120","3449","0","0","2017-06-21 18:07:36","6145"
"A25VT8VMVWY4X0","sp_v3_real2","3A4TN5196KJ22RAPWYJMK5REC54HCR","0","0","4","4","5","2","1","1","0","1","118","1812","1","-16","2017-06-21 18:07:36","6146"
"A34930YXVQ8SUT","sp_v3_real2","3Q5C1WP23M26ZVGWFZTTEC5X3ZM518","0","0","3","3","4","2","0","2","0","2","120","884","0","0","2017-06-21 18:07:38","6147"
"A1R6ZLM9V362F7","sp_v3_real2","37UQDCYH6XW18BADA6SFJKQ9J9O7VE","0","0","4","3","8","2","1","0","0","0","116","3801","1","-7","2017-06-21 18:07:38","6148"
"A1ALBJU1XOKYFH","sp_v3_real2","3DY46V3X3PJ5NDHFGMV5H2IEFFR55Q","1","1","4","3","5","0","0","0","0","0","120","1710","0","0","2017-06-21 18:07:38","6149"
"ANPMO5PXKDTXF","sp_v3_real2","3K772S5NP8CHZPU3SPPHATRHXHHEHH","1","1","4","4","7","0","0","0","0","0","120","2094","0","0","2017-06-21 18:07:39","6150"
"A2WOU3CII8ER24","sp_v3_real2","3TE3O8573092T3WQVA6AMWKYNNP2R0","0","0","3","4","7","2","1","0","0","0","116","28005","1","-7","2017-06-21 18:07:43","6152"
"A25VT8VMVWY4X0","sp_v3_real2","3A4TN5196KJ22RAPWYJMK5REC54HCR","0","0","4","4","5","2","1","2","0","2","117","850","1","-24","2017-06-21 18:07:44","6153"
"A1R6ZLM9V362F7","sp_v3_real2","37UQDCYH6XW18BADA6SFJKQ9J9O7VE","0","0","4","3","8","2","1","1","0","1","112","1154","1","-14","2017-06-21 18:07:46","6154"
"AKZA41N1TOI1H","sp_v3_real2","34QN5IT0TZSPFOEGHEWWCRWE0XH082","1","1","3","4","6","0","0","1","0","1","120","1503","0","0","2017-06-21 18:07:46","6155"
"A34930YXVQ8SUT","sp_v3_real2","3Q5C1WP23M26ZVGWFZTTEC5X3ZM518","0","0","3","3","4","2","0","3","0","3","120","502","0","0","2017-06-21 18:07:48","6157"
"A1ALBJU1XOKYFH","sp_v3_real2","3DY46V3X3PJ5NDHFGMV5H2IEFFR55Q","1","1","4","3","5","0","0","1","0","1","120","2662","0","0","2017-06-21 18:07:48","6158"
"A1HXZLVIVK5HJE","sp_v3_real2","35GMH2SV3EIRR6GQW2K7U2OI93VEO5","1","1","2","2","6","0","0","0","0","0","120","1915","0","0","2017-06-21 18:07:50","6159"
"A9KUDJIUCERON","sp_v3_real2","3PWWM24LHSZWBYHUW10AVFPTXV182U","0","0","2","1","5","2","0","0","0","0","120","4021","0","0","2017-06-21 18:07:51","6160"
"A1R6ZLM9V362F7","sp_v3_real2","37UQDCYH6XW18BADA6SFJKQ9J9O7VE","0","0","4","3","8","2","1","2","0","2","108","1009","1","-21","2017-06-21 18:07:53","6161"
"A2EFD7AW29IXUR","sp_v3_real2","3WETL7AQWT929YUB237C25KU1J0530","1","1","1","1","3","0","0","0","0","0","120","3811","0","0","2017-06-21 18:07:54","6162"
"A25VT8VMVWY4X0","sp_v3_real2","3A4TN5196KJ22RAPWYJMK5REC54HCR","0","0","4","4","5","2","0","3","0","3","117","3044","0","-24","2017-06-21 18:07:54","6163"
"AKZA41N1TOI1H","sp_v3_real2","34QN5IT0TZSPFOEGHEWWCRWE0XH082","1","1","3","4","6","0","0","2","0","2","120","1054","0","0","2017-06-21 18:07:55","6164"
"A1AF6EW9YUMER9","sp_v3_real2","3EO896NRAWWFFE7Q6KHXLS7XDJ8JTH","0","1","2","2","5","1","0","0","0","0","120","3031","0","0","2017-06-21 18:07:55","6165"
"A2WOU3CII8ER24","sp_v3_real2","3TE3O8573092T3WQVA6AMWKYNNP2R0","0","0","3","4","7","2","1","1","0","1","112","4735","1","-14","2017-06-21 18:07:55","6166"
