"subject","version","assignmentId","role","punCostly","oppPersistent","choice","globalRound","matchNum","matchRound","score","rt","oppChoice","oppScore","stamp","id"
"A3UTFL5JHRQCM1","sp_v1","3E1QT0TDFPA0MJVWL4L2IVWAK6G8IF","1","1","1","0","0","0","0","390","9293","1","10","2017-05-26 17:13:04","131"
"A3UTFL5JHRQCM1","sp_v1","3E1QT0TDFPA0MJVWL4L2IVWAK6G8IF","1","1","1","0","1","0","1","380","3006","1","20","2017-05-26 17:13:16","132"
"A3UTFL5JHRQCM1","sp_v1","3E1QT0TDFPA0MJVWL4L2IVWAK6G8IF","1","1","1","1","2","0","2","360","1790","1","0","2017-05-26 17:13:27","133"
"A3UTFL5JHRQCM1","sp_v1","3E1QT0TDFPA0MJVWL4L2IVWAK6G8IF","1","1","1","1","3","0","3","340","3756","1","-20","2017-05-26 17:13:37","134"
"A3UTFL5JHRQCM1","sp_v1","3E1QT0TDFPA0MJVWL4L2IVWAK6G8IF","1","1","1","1","4","0","4","320","575","1","-40","2017-05-26 17:13:48","135"
"A3UTFL5JHRQCM1","sp_v1","3E1QT0TDFPA0MJVWL4L2IVWAK6G8IF","1","1","1","1","5","0","5","300","1045","1","-60","2017-05-26 17:13:56","136"
"A3UTFL5JHRQCM1","sp_v1","3E1QT0TDFPA0MJVWL4L2IVWAK6G8IF","1","1","1","1","6","0","6","280","1259","1","-80","2017-05-26 17:14:04","137"
"A3UTFL5JHRQCM1","sp_v1","3E1QT0TDFPA0MJVWL4L2IVWAK6G8IF","1","1","1","1","7","0","7","260","790","1","-100","2017-05-26 17:14:12","138"
"A3UTFL5JHRQCM1","sp_v1","3E1QT0TDFPA0MJVWL4L2IVWAK6G8IF","1","1","1","0","8","0","8","250","1311","1","-90","2017-05-26 17:14:20","139"
"A3UTFL5JHRQCM1","sp_v1","3E1QT0TDFPA0MJVWL4L2IVWAK6G8IF","1","1","1","0","9","0","9","240","373","1","-80","2017-05-26 17:14:28","140"
"A3UTFL5JHRQCM1","sp_v1","3E1QT0TDFPA0MJVWL4L2IVWAK6G8IF","1","1","1","1","10","0","10","220","1335","1","-100","2017-05-26 17:14:36","141"
"A3UTFL5JHRQCM1","sp_v1","3E1QT0TDFPA0MJVWL4L2IVWAK6G8IF","1","1","1","0","11","0","11","210","1309","1","-90","2017-05-26 17:14:45","142"
"A3UTFL5JHRQCM1","sp_v1","3E1QT0TDFPA0MJVWL4L2IVWAK6G8IF","1","1","1","0","12","0","12","200","463","1","-80","2017-05-26 17:14:53","143"
