"subject","version","assignmentId","role","stealCond","punCond","oppType","choice","globalRound","matchNum","matchRound","score","rt","oppChoice","oppScore","stamp","id"
"A2SD7GN80U31GW","sp_v2_real2","3483FV8BEEK97KY63M3CB1T2PLI26D","0","-1","1","2","1","0","0","0","99","6545","1","-2","2017-05-30 14:57:35","14818"
"A2SD7GN80U31GW","sp_v2_real2","3483FV8BEEK97KY63M3CB1T2PLI26D","0","-1","1","2","0","1","0","1","99","2186","0","-2","2017-05-30 14:57:44","14819"
"A1CSDIX05PK9V","sp_v2_real2","33LKR6A5KEL8KXRMGVBRHSBBHNET1X","0","-1","0","2","0","0","0","0","100","4978","0","0","2017-05-30 14:57:47","14820"
"A2SD7GN80U31GW","sp_v2_real2","3483FV8BEEK97KY63M3CB1T2PLI26D","0","-1","1","2","0","2","0","2","99","514","0","-2","2017-05-30 14:57:51","14821"
"A2B8HPIZDKYKDR","sp_v2_real2","3Y5140Z9DXHLSBUD7LND4HR09M4PIG","1","-1","1","2","0","0","0","0","99","3646","1","1","2017-05-30 14:57:53","14822"
"A1CSDIX05PK9V","sp_v2_real2","33LKR6A5KEL8KXRMGVBRHSBBHNET1X","0","-1","0","2","1","1","0","1","98","1633","1","-2","2017-05-30 14:57:55","14823"
"A1PBRKFHSF1OF8","sp_v2_real2","3JNQLM5FT4NRQ51DQQ9E0KBZFG72LL","1","-1","0","2","0","0","0","0","99","4638","1","1","2017-05-30 14:57:56","14824"
"A2SD7GN80U31GW","sp_v2_real2","3483FV8BEEK97KY63M3CB1T2PLI26D","0","-1","1","2","0","3","0","3","99","823","0","-2","2017-05-30 14:57:58","14825"
"A3BOY7SUI425MK","sp_v2_real2","32SVAV9L3FAZF46SXZYTAG0GRI8A3M","0","-1","0","2","0","0","0","0","100","2949","0","0","2017-05-30 14:57:58","14826"
"A2B8HPIZDKYKDR","sp_v2_real2","3Y5140Z9DXHLSBUD7LND4HR09M4PIG","1","-1","1","2","0","1","0","1","98","578","1","2","2017-05-30 14:58:02","14827"
"A1CSDIX05PK9V","sp_v2_real2","33LKR6A5KEL8KXRMGVBRHSBBHNET1X","0","-1","0","2","0","2","0","2","98","791","0","-2","2017-05-30 14:58:02","14828"
"A1ZK3LRUC4ICY7","sp_v2_real2","3RYC5T2D73UYLAXWX8HMI9SRWINPRK","0","-1","0","2","0","0","0","0","100","6923","0","0","2017-05-30 14:58:04","14829"
"ARPBS72HUCKD4","sp_v2_real2","3L0KT67Y8EH4V3PA3KDALAQZMP9SY5","0","-1","0","2","1","0","0","0","98","3131","1","-2","2017-05-30 14:58:04","14830"
"A2SD7GN80U31GW","sp_v2_real2","3483FV8BEEK97KY63M3CB1T2PLI26D","0","-1","1","2","0","4","0","4","99","605","0","-2","2017-05-30 14:58:05","14831"
"A2B8HPIZDKYKDR","sp_v2_real2","3Y5140Z9DXHLSBUD7LND4HR09M4PIG","1","-1","1","2","0","2","0","2","97","467","1","3","2017-05-30 14:58:08","14832"
" A20HITED8LB7O5","sp_v2_real2","340UGXU9DY236MM9NELQTC4TP5SUVE","0","-1","0","2","1","0","0","0","98","4633","1","-2","2017-05-30 14:58:09","14833"
"A1PBRKFHSF1OF8","sp_v2_real2","3JNQLM5FT4NRQ51DQQ9E0KBZFG72LL","1","-1","0","2","0","1","0","1","98","4675","1","2","2017-05-30 14:58:09","14834"
"A3BOY7SUI425MK","sp_v2_real2","32SVAV9L3FAZF46SXZYTAG0GRI8A3M","0","-1","0","2","0","1","0","1","100","3327","0","0","2017-05-30 14:58:09","14835"
"A353I1D9GT7GNC","sp_v2_real2","3O6CYIULED2GLBMEDOQMFEN7WEUUWO","0","-1","0","2","1","0","0","0","98","6962","1","-2","2017-05-30 14:58:09","14836"
"A2T9GR0UCUVDXG","sp_v2_real2","3DY46V3X3PJ5NDHFGMV5H2IED0Y551","0","-1","1","2","0","0","0","0","100","3165","0","0","2017-05-30 14:58:10","14837"
"A2B8HPIZDKYKDR","sp_v2_real2","3Y5140Z9DXHLSBUD7LND4HR09M4PIG","1","-1","1","2","0","3","0","3","96","439","1","4","2017-05-30 14:58:15","14838"
"A2SD7GN80U31GW","sp_v2_real2","3483FV8BEEK97KY63M3CB1T2PLI26D","0","-1","1","2","1","5","0","5","98","713","1","-4","2017-05-30 14:58:15","14839"
"A1ZK3LRUC4ICY7","sp_v2_real2","3RYC5T2D73UYLAXWX8HMI9SRWINPRK","0","-1","0","2","0","1","0","1","100","673","0","0","2017-05-30 14:58:15","14840"
"A3BOY7SUI425MK","sp_v2_real2","32SVAV9L3FAZF46SXZYTAG0GRI8A3M","0","-1","0","2","0","2","0","2","100","1665","0","0","2017-05-30 14:58:17","14841"
"A1PBRKFHSF1OF8","sp_v2_real2","3JNQLM5FT4NRQ51DQQ9E0KBZFG72LL","1","-1","0","2","0","2","0","2","97","974","1","3","2017-05-30 14:58:17","14842"
"A2T9GR0UCUVDXG","sp_v2_real2","3DY46V3X3PJ5NDHFGMV5H2IED0Y551","0","-1","1","2","0","1","0","1","100","896","0","0","2017-05-30 14:58:17","14843"
"A1NM7ZPZ3NH412","sp_v2_real2","3WETL7AQWT929YUB237C25KUZ4753B","1","-1","1","2","0","0","0","0","99","2156","1","1","2017-05-30 14:58:18","14844"
"A1CSDIX05PK9V","sp_v2_real2","33LKR6A5KEL8KXRMGVBRHSBBHNET1X","0","-1","0","2","0","3","0","3","98","496","0","-2","2017-05-30 14:58:18","14845"
"ARPBS72HUCKD4","sp_v2_real2","3L0KT67Y8EH4V3PA3KDALAQZMP9SY5","0","-1","0","2","0","1","0","1","98","4296","0","-2","2017-05-30 14:58:18","14846"
" A20HITED8LB7O5","sp_v2_real2","340UGXU9DY236MM9NELQTC4TP5SUVE","0","-1","0","2","1","1","0","1","96","2475","1","-4","2017-05-30 14:58:21","14847"
"A2B8HPIZDKYKDR","sp_v2_real2","3Y5140Z9DXHLSBUD7LND4HR09M4PIG","1","-1","1","2","0","4","0","4","95","1045","1","5","2017-05-30 14:58:22","14848"
"A1OIPSWKV6DVUF","sp_v2_real2","31Q0U3WYDPGLMZUF3S8QCWJTSQO710","0","-1","1","2","0","0","0","0","100","4871","0","0","2017-05-30 14:58:23","14849"
"A2SD7GN80U31GW","sp_v2_real2","3483FV8BEEK97KY63M3CB1T2PLI26D","0","-1","1","2","0","6","0","6","98","1188","0","-4","2017-05-30 14:58:23","14850"
"A1ZK3LRUC4ICY7","sp_v2_real2","3RYC5T2D73UYLAXWX8HMI9SRWINPRK","0","-1","0","2","0","2","0","2","100","807","0","0","2017-05-30 14:58:23","14851"
"A2T9GR0UCUVDXG","sp_v2_real2","3DY46V3X3PJ5NDHFGMV5H2IED0Y551","0","-1","1","2","0","2","0","2","100","422","0","0","2017-05-30 14:58:24","14852"
"A1KGM1B9XJELX","sp_v2_real2","34Z02EIMISE8D864KC7R3NS1CV8T0U","1","-1","1","2","1","0","0","0","97","3005","1","-2","2017-05-30 14:58:24","14853"
"A3JTF21YTIRKV","sp_v2_real2","3C2NJ6JBKAIHE54Y23PTDCFOKB72NN","0","-1","1","2","0","0","0","0","100","7583","0","0","2017-05-30 14:58:25","14854"
"A3BOY7SUI425MK","sp_v2_real2","32SVAV9L3FAZF46SXZYTAG0GRI8A3M","0","-1","0","2","0","3","0","3","100","1766","0","0","2017-05-30 14:58:25","14855"
"A1PBRKFHSF1OF8","sp_v2_real2","3JNQLM5FT4NRQ51DQQ9E0KBZFG72LL","1","-1","0","2","0","3","0","3","96","698","1","4","2017-05-30 14:58:25","14856"
"A1CFUMXK9QFT9M","sp_v2_real2","3EKVH9QMEY58STDLD9BQH73U6752D5","0","-1","0","2","0","0","0","0","100","3152","0","0","2017-05-30 14:58:26","14857"
"A2B8HPIZDKYKDR","sp_v2_real2","3Y5140Z9DXHLSBUD7LND4HR09M4PIG","1","-1","1","2","0","5","0","5","94","765","1","6","2017-05-30 14:58:29","14858"
"A1ZK3LRUC4ICY7","sp_v2_real2","3RYC5T2D73UYLAXWX8HMI9SRWINPRK","0","-1","0","2","0","3","0","3","100","490","0","0","2017-05-30 14:58:29","14859"
"A2SD7GN80U31GW","sp_v2_real2","3483FV8BEEK97KY63M3CB1T2PLI26D","0","-1","1","2","0","7","0","7","98","387","0","-4","2017-05-30 14:58:30","14860"
"ARPBS72HUCKD4","sp_v2_real2","3L0KT67Y8EH4V3PA3KDALAQZMP9SY5","0","-1","0","2","0","2","0","2","98","2440","0","-2","2017-05-30 14:58:30","14861"
"A1CSDIX05PK9V","sp_v2_real2","33LKR6A5KEL8KXRMGVBRHSBBHNET1X","0","-1","0","2","0","4","0","4","98","709","0","-2","2017-05-30 14:58:30","14862"
"A11S8IAAVDXCUS","sp_v2_real2","3R5F3LQFV2LP217MSPYKFCP0VUAZO6","1","-1","1","2","0","0","0","0","99","2772","1","1","2017-05-30 14:58:30","14863"
"A2T9GR0UCUVDXG","sp_v2_real2","3DY46V3X3PJ5NDHFGMV5H2IED0Y551","0","-1","1","2","0","3","0","3","100","453","0","0","2017-05-30 14:58:30","14864"
"A3BOY7SUI425MK","sp_v2_real2","32SVAV9L3FAZF46SXZYTAG0GRI8A3M","0","-1","0","2","0","4","0","4","100","1267","0","0","2017-05-30 14:58:32","14865"
"A1OIPSWKV6DVUF","sp_v2_real2","31Q0U3WYDPGLMZUF3S8QCWJTSQO710","0","-1","1","2","0","1","0","1","100","2251","0","0","2017-05-30 14:58:33","14866"
"A2WC2NO555XU3J","sp_v2_real2","3ITXP059PWKE0EUBHKC7BNBB9L0SJB","0","-1","1","2","0","0","0","0","100","3316","0","0","2017-05-30 14:58:33","14867"
"A3JTF21YTIRKV","sp_v2_real2","3C2NJ6JBKAIHE54Y23PTDCFOKB72NN","0","-1","1","2","0","1","0","1","100","2316","0","0","2017-05-30 14:58:34","14868"
" A20HITED8LB7O5","sp_v2_real2","340UGXU9DY236MM9NELQTC4TP5SUVE","0","-1","0","2","1","2","0","2","94","3536","1","-6","2017-05-30 14:58:34","14869"
"A1KGM1B9XJELX","sp_v2_real2","34Z02EIMISE8D864KC7R3NS1CV8T0U","1","-1","1","2","1","1","0","1","94","1746","1","-4","2017-05-30 14:58:34","14870"
"A1PBRKFHSF1OF8","sp_v2_real2","3JNQLM5FT4NRQ51DQQ9E0KBZFG72LL","1","-1","0","2","1","4","0","4","94","1185","1","2","2017-05-30 14:58:35","14871"
"A1NM7ZPZ3NH412","sp_v2_real2","3WETL7AQWT929YUB237C25KUZ4753B","1","-1","1","2","0","1","0","1","98","1886","1","2","2017-05-30 14:58:35","14872"
"A1CFUMXK9QFT9M","sp_v2_real2","3EKVH9QMEY58STDLD9BQH73U6752D5","0","-1","0","2","0","1","0","1","100","1302","0","0","2017-05-30 14:58:35","14873"
"A2LGSV2MKHWA49","sp_v2_real2","3XXU1SWE8MW3YC7VECGA8I29O6OA0R","1","-1","0","2","0","0","0","0","99","6309","1","1","2017-05-30 14:58:35","14874"
"A2B8HPIZDKYKDR","sp_v2_real2","3Y5140Z9DXHLSBUD7LND4HR09M4PIG","1","-1","1","2","0","6","0","6","93","462","1","7","2017-05-30 14:58:36","14875"
"AO5WJXJED5LQO","sp_v2_real2","3UOUJI6MTDFVABR4NTM8HX1E5G0XUK","1","-1","0","2","0","0","0","0","99","14562","1","1","2017-05-30 14:58:36","14876"
"A1ZK3LRUC4ICY7","sp_v2_real2","3RYC5T2D73UYLAXWX8HMI9SRWINPRK","0","-1","0","2","0","4","0","4","100","742","0","0","2017-05-30 14:58:36","14877"
"A2SD7GN80U31GW","sp_v2_real2","3483FV8BEEK97KY63M3CB1T2PLI26D","0","-1","1","2","0","8","0","8","98","435","0","-4","2017-05-30 14:58:36","14878"
"A2T9GR0UCUVDXG","sp_v2_real2","3DY46V3X3PJ5NDHFGMV5H2IED0Y551","0","-1","1","2","0","4","0","4","100","483","0","0","2017-05-30 14:58:37","14879"
"A1CSDIX05PK9V","sp_v2_real2","33LKR6A5KEL8KXRMGVBRHSBBHNET1X","0","-1","0","2","0","5","0","5","98","2674","0","-2","2017-05-30 14:58:39","14880"
"A19A5BP9FN5KJM","sp_v2_real2","3DEL4X4EL6MCRKB9XUJXKI7R14BXYI","1","-1","1","2","0","0","0","0","99","8779","1","1","2017-05-30 14:58:40","14881"
