"subject","version","assignmentId","role","stealCond","punCond","oppType","choice","globalRound","matchNum","matchRound","score","rt","oppChoice","oppScore","stamp","id"
"A29RJVVL54THB5","sp_v2_s","3KRVW3HTZNM41M0WKHPZRF3SDE8MSK","1","1","-1","1","0","0","0","0","98","1614","1","2","2017-05-30 00:00:10","5817"
"A29RJVVL54THB5","sp_v2_s","3KRVW3HTZNM41M0WKHPZRF3SDE8MSK","1","1","-1","1","1","1","0","1","95","1775","1","0","2017-05-30 00:00:20","5818"
"A29RJVVL54THB5","sp_v2_s","3KRVW3HTZNM41M0WKHPZRF3SDE8MSK","1","1","-1","1","0","2","0","2","95","1438","0","0","2017-05-30 00:00:30","5820"
"A29RJVVL54THB5","sp_v2_s","3KRVW3HTZNM41M0WKHPZRF3SDE8MSK","1","1","-1","1","0","3","0","3","95","1169","0","0","2017-05-30 00:00:38","5823"
"A3454T4PU9GJM0","sp_v2_s","3X65QVEQI0O4ONTFNJYKCXKLR6WCLE","1","0","-1","2","1","0","0","0","98","3803","1","-3","2017-05-30 00:00:42","5824"
"A29RJVVL54THB5","sp_v2_s","3KRVW3HTZNM41M0WKHPZRF3SDE8MSK","1","1","-1","1","0","4","0","4","95","1249","0","0","2017-05-30 00:00:46","5827"
"A3454T4PU9GJM0","sp_v2_s","3X65QVEQI0O4ONTFNJYKCXKLR6WCLE","1","0","-1","2","1","1","0","1","96","1507","1","-6","2017-05-30 00:00:52","5829"
"A29RJVVL54THB5","sp_v2_s","3KRVW3HTZNM41M0WKHPZRF3SDE8MSK","1","1","-1","1","0","5","0","5","95","986","0","0","2017-05-30 00:00:54","5831"
"A3454T4PU9GJM0","sp_v2_s","3X65QVEQI0O4ONTFNJYKCXKLR6WCLE","1","0","-1","2","1","2","0","2","94","605","1","-9","2017-05-30 00:01:00","5835"
"A29RJVVL54THB5","sp_v2_s","3KRVW3HTZNM41M0WKHPZRF3SDE8MSK","1","1","-1","1","0","6","0","6","95","959","0","0","2017-05-30 00:01:01","5838"
"A1PTX4IB9R34LI","sp_v2_s","3NL0RFNU0FOQ9DYI94G1EZVIATB4KR","1","0","-1","1","0","0","0","0","99","10614","1","1","2017-05-30 00:01:03","5839"
"A3454T4PU9GJM0","sp_v2_s","3X65QVEQI0O4ONTFNJYKCXKLR6WCLE","1","0","-1","2","1","3","0","3","92","703","1","-12","2017-05-30 00:01:09","5841"
"A28NL6E1D2HLD2","sp_v2_s","37TD41K0AHARS0O57SVLOJYGJ04SC8","1","1","-1","1","0","0","0","0","98","1835","1","2","2017-05-30 00:01:14","5848"
"A2HHGI5CNSS5PD","sp_v2_s","384PI804XS27Y8TPVC21TIWFAB7S0F","1","1","-1","2","1","0","0","0","97","2704","1","-2","2017-05-30 00:01:16","5849"
" A19V3A2N7GWL77
","sp_v2_s","3TUI152ZZBOVSHZUZRHWCN0OXFSQ1R","1","1","-1","2","1","0","0","0","97","17261","1","-2","2017-05-30 00:01:18","5853"
"A3454T4PU9GJM0","sp_v2_s","3X65QVEQI0O4ONTFNJYKCXKLR6WCLE","1","0","-1","2","1","4","0","4","90","567","1","-15","2017-05-30 00:01:19","5856"
