"subject","version","assignmentId","role","orderCond","s","c","p","oppType","choice","globalRound","matchNum","matchRound","score","rt","oppChoice","oppScore","stamp","id"
"A2BVUVKIS50IR8","sp_v3_pilot2","379J5II41OHJLLDTJA4F2LKOEYDELB","1","0","1","1","3","2","0","0","0","0","199","4166","1","1","2017-06-21 15:45:56","5252"
"A2BVUVKIS50IR8","sp_v3_pilot2","379J5II41OHJLLDTJA4F2LKOEYDELB","1","0","1","1","3","2","0","1","0","1","198","1724","1","2","2017-06-21 15:46:05","5253"
"A2BVUVKIS50IR8","sp_v3_pilot2","379J5II41OHJLLDTJA4F2LKOEYDELB","1","0","1","1","3","2","0","2","0","2","197","1606","1","3","2017-06-21 15:46:14","5254"
"A2BVUVKIS50IR8","sp_v3_pilot2","379J5II41OHJLLDTJA4F2LKOEYDELB","1","0","1","1","3","2","0","3","0","3","196","1844","1","4","2017-06-21 15:46:23","5255"
"A3RO90I4O8I0O2","sp_v3_pilot2","338JKRMM260E9CDRCKNVEA1QC26HAC","1","1","2","2","6","1","1","0","0","0","196","2410","1","-4","2017-06-21 15:46:29","5256"
"A2BVUVKIS50IR8","sp_v3_pilot2","379J5II41OHJLLDTJA4F2LKOEYDELB","1","0","1","1","3","2","0","4","0","4","195","1628","1","5","2017-06-21 15:46:32","5257"
"A2BVUVKIS50IR8","sp_v3_pilot2","379J5II41OHJLLDTJA4F2LKOEYDELB","1","0","1","1","3","2","0","5","0","5","194","1328","1","6","2017-06-21 15:46:40","5258"
"A3RO90I4O8I0O2","sp_v3_pilot2","338JKRMM260E9CDRCKNVEA1QC26HAC","1","1","2","2","6","1","0","1","0","1","196","818","0","-4","2017-06-21 15:46:41","5259"
"A2BVUVKIS50IR8","sp_v3_pilot2","379J5II41OHJLLDTJA4F2LKOEYDELB","1","0","1","1","3","2","0","6","0","6","193","1564","1","7","2017-06-21 15:46:49","5260"
"A3RO90I4O8I0O2","sp_v3_pilot2","338JKRMM260E9CDRCKNVEA1QC26HAC","1","1","2","2","6","1","0","2","0","2","196","925","0","-4","2017-06-21 15:46:51","5261"
"A2BVUVKIS50IR8","sp_v3_pilot2","379J5II41OHJLLDTJA4F2LKOEYDELB","1","0","1","1","3","2","0","7","0","7","192","2394","1","8","2017-06-21 15:46:59","5262"
"ADMTRXEG43HU0","sp_v3_pilot2","3ZPBJO59KP2C7JG3WUEX4B9WX53HDE","1","1","3","1","6","1","1","0","0","0","196","21028","1","-3","2017-06-21 15:47:03","5263"
"A3RO90I4O8I0O2","sp_v3_pilot2","338JKRMM260E9CDRCKNVEA1QC26HAC","1","1","2","2","6","1","0","3","0","3","196","644","0","-4","2017-06-21 15:47:04","5264"
"A2BVUVKIS50IR8","sp_v3_pilot2","379J5II41OHJLLDTJA4F2LKOEYDELB","1","0","1","1","3","2","0","8","0","8","191","1056","1","9","2017-06-21 15:47:06","5265"
"A3RO90I4O8I0O2","sp_v3_pilot2","338JKRMM260E9CDRCKNVEA1QC26HAC","1","1","2","2","6","1","0","4","0","4","196","729","0","-4","2017-06-21 15:47:12","5266"
"A2BVUVKIS50IR8","sp_v3_pilot2","379J5II41OHJLLDTJA4F2LKOEYDELB","1","0","1","1","3","2","0","9","0","9","190","1084","1","10","2017-06-21 15:47:14","5267"
