"subject","version","assignmentId","gender","bonus","instructions_time","total_time","comments","timestamp","id"
"ADMTRXEG43HU0","sp_v3_pilot2","3ZPBJO59KP2C7JG3WUEX4B9WX53HDE","Female","117","88058","477068","I TRIED TO BE FAIR UNTIL I COULD NOT","2017-06-21 15:52:47","949"
"A2BVUVKIS50IR8","sp_v3_pilot2","379J5II41OHJLLDTJA4F2LKOEYDELB","Female","180","57465","521204","My strategy was not to lose more money or make anyone else lose money. ","2017-06-21 15:53:19","950"
"A3RO90I4O8I0O2","sp_v3_pilot2","338JKRMM260E9CDRCKNVEA1QC26HAC","Male","192","41242","556157","I tried to take points off/gain points. However, if they didn't give in, I chose the option with no gain/loss. ","2017-06-21 15:54:37","951"
"A1EKUJGMFDI1RZ","sp_v3_pilot2","3Q8GYXHFEP3QMYQUVWIDV8OO7W0C5S","Male","148","75281","534598","I tried to just be fair. The first 2 were easy. The last one I tried to punish Sam for being a dick, but it didn't help so I just went back to minimizing the damage to myself.","2017-06-21 15:54:43","952"
"A2CNXQG6YYHTDF","sp_v3_pilot2","39O5D9O87TTN8J3QHDUKGBQ4T09C32","Male","200","123289","647993","I don't want my partner to lose, so I always chose the option with 0 points.","2017-06-21 15:55:25","953"
"ANTH5IGN5CHN6","sp_v3_pilot2","3M0BCWMB8VX1PCD8DX9RAOVJ984WBM","Male","172","56434","480808",,"2017-06-21 15:59:16","954"
"AE608VRXK6M2E","sp_v3_pilot2","3QJOXOW4XJS3R3VEJM5U2YZDE33EMD","Male","192","89616","707667","I took too long to implement strategy. I should have taken the hit to stop X from choosing A.","2017-06-21 16:01:37","955"
"A3UR1AE3D5U7F","sp_v3_pilot2","3M68NM076H8QB4FRICIDC91A3SER6T","Female","118","155325","809838","If they chose to give themselves points, I'd take away from them. I don't think it was fair to use that and so therefore, I'd sacrifice points to make sure they didn't get any.","2017-06-21 16:09:31","956"
"ACN0C9HPYDTED","sp_v3_pilot2","32Q90QCQ1SM81FVBYASENL79PY8EK8","Male","222","624350","1168928","My strategy was to test to see how my partners react to my unfair decision and then act to the best of my interest accordingly.","2017-06-21 16:10:12","957"
"A19WWXPWT25JD0","sp_v3_pilot2","3A4TN5196KJ22RAPWYJMK5REC5RHCE","Female","138","74576","727669","I trying to keep the most of 200 points I started out with.","2017-06-21 16:22:11","958"
"A1GZOEMTN2KYDA","sp_v3_pilot2","33F859I566EJSMIJIYNR9LLWUKRHB7","Other","188","38146","650081","maximize","2017-06-21 16:27:45","959"
"A2LMREAO2XRLTM","sp_v3_pilot2","3YT88D1N08Z5RHFE9QBI4U3CY9IK3N","Male","183","92912","764558","I imitated the other players choices","2017-06-21 16:29:19","960"
"A3RR85PK3AV9TU","sp_v3_pilot2","3SKRO2GZ71S9HE1ZMMXZG1OF0P4K1V","Male","197","101372","572673","I just tried to not lose points overall, which meant not trying to give myself points at the expense of someone else, because that seemed like a sure strategy that, if all players tried, we'd all wind up losing in the end. So I tried to always choose 0.","2017-06-21 16:33:00","961"
"A1YIH5JUVIML4S","sp_v3_pilot2","351SEKWQS0IYZXHENRUAWGHSER2MDS","Male","177","74292","601554","My strategy was to lose the least points possible for myself. I didn't really care how many points the other player was losing or gaining. No other comments.","2017-06-21 16:35:49","962"
"A2AJ5QFNC9KF43","sp_v3_pilot2","3K772S5NP8CHZPU3SPPHATRHXH4HE7","Male","199","165875","831532","Just to take 0 because if I tried to do the +1/-1 then the opponent would subtract from me.","2017-06-21 16:36:25","963"
"A317L37U2W6R4P","sp_v3_pilot2","33FOTY3KEMMRYGPBU9G1SIB7VGVC1A","Male","200","35197","473229",,"2017-06-21 16:53:13","964"
"A2GTL8ODM5JYA2","sp_v3_pilot2","3IAEQB9FMELU49BSRT0X5EJJCTGWDT","Female","186","97591","569458","My strategy was to do good and try not to lose any points. I understood how helpless one would feel in the Y position and it isn't fair when X takes advantage of that position. I wasn't going to lose points trying to teach X a lesson, so I just allowed them to do their thing. ","2017-06-21 17:06:57","965"
